S.No,Credits,Player Role,Player,Team,RoleFlag
1,9.0,ALL,Sunil Narine,KKR,Captain
2,8.0,BAT,Venkatesh Iyer,KKR,Player
3,7.5,BAT,Ajinkya Rahane,KKR,Player
4,6.5,BAT,Priyansh Arya,PBKS,Player
5,7.5,BAT,Nehal Wadhera,PBKS,Player
6,7.5,BAT,Shashank Singh,PBKS,Player
7,8.5,BAT,Shreyas Iyer,PBKS,Vice-Captain
8,9.0,BOWL,Varun Chakravarthy,KKR,Player
9,8.5,ALL,Andre Russell,KKR,Player
10,8.0,ALL,Marco Jansen,PBKS,Player
11,7.5,ALL,Azmatullah Omarzai,PBKS,Player
12,7.5,WK,Rahmanullah Gurbaz,KKR,Backup
13,7.5,WK,Prabhsimran Singh,PBKS,Backup
14,7.5,WK,Josh Inglis,PBKS,Backup
15,7.0,BAT,Rovman Powell,KKR,Backup
